iter	Passed	Remaining
1313	3270	6684
1314	3273	6683
1315	3275	6680
1316	3278	6678
1317	3280	6675
1318	3282	6672
1319	3285	6669
1320	3286	6665
1321	3288	6662
1322	3291	6659
1323	3293	6656
1324	3295	6653
1325	3297	6650
1326	3299	6647
1327	3302	6644
1328	3305	6642
1329	3307	6640
1330	3309	6637
1331	3312	6634
1332	3314	6631
1333	3316	6628
1334	3319	6626
1335	3322	6624
1336	3324	6621
1337	3326	6618
1338	3328	6615
1339	3331	6612
1340	3333	6610
1341	3336	6608
1342	3339	6606
1343	3342	6604
1344	3344	6601
1345	3346	6599
1346	3349	6596
1347	3351	6593
1348	3354	6591
1349	3356	6588
1350	3359	6586
1351	3361	6584
1352	3363	6580
1353	3366	6578
1354	3369	6576
1355	3371	6574
1356	3373	6571
1357	3376	6568
1358	3378	6565
1359	3380	6562
1360	3383	6560
1361	3385	6557
1362	3387	6554
1363	3390	6551
1364	3392	6548
1365	3394	6545
1366	3397	6543
1367	3399	6541
1368	3402	6539
1369	3404	6536
1370	3407	6534
1371	3409	6531
1372	3412	6528
1373	3414	6526
1374	3417	6523
1375	3419	6520
1376	3421	6517
1377	3424	6515
1378	3426	6511
1379	3428	6508
1380	3430	6506
1381	3433	6504
1382	3436	6501
1383	3438	6498
1384	3440	6495
1385	3443	6493
1386	3445	6491
1387	3448	6488
1388	3450	6486
1389	3453	6484
1390	3455	6481
1391	3458	6478
1392	3460	6475
1393	3462	6473
1394	3465	6471
1395	3467	6468
1396	3469	6464
1397	3471	6461
1398	3473	6458
1399	3476	6455
1400	3478	6452
1401	3480	6449
1402	3482	6446
1403	3484	6443
1404	3487	6441
1405	3489	6438
1406	3492	6435
1407	3494	6433
1408	3497	6431
1409	3500	6429
1410	3502	6427
1411	3505	6425
1412	3508	6423
1413	3510	6420
1414	3513	6418
1415	3515	6416
1416	3517	6412
1417	3519	6409
1418	3521	6405
1419	3524	6403
1420	3527	6401
1421	3530	6399
1422	3532	6397
1423	3534	6394
1424	3537	6391
1425	3539	6389
1426	3542	6386
1427	3544	6384
1428	3546	6381
1429	3549	6378
1430	3551	6375
1431	3553	6372
1432	3556	6370
1433	3558	6367
1434	3561	6365
1435	3563	6363
1436	3566	6360
1437	3568	6357
1438	3570	6355
1439	3573	6352
1440	3575	6349
1441	3578	6347
1442	3580	6344
1443	3582	6341
1444	3585	6338
1445	3587	6335
1446	3589	6332
1447	3591	6329
1448	3594	6327
1449	3596	6325
1450	3598	6322
1451	3601	6319
1452	3603	6316
1453	3606	6314
1454	3608	6312
1455	3611	6309
1456	3613	6306
1457	3615	6303
1458	3617	6301
1459	3620	6298
1460	3622	6295
1461	3625	6293
1462	3627	6290
1463	3629	6287
1464	3631	6284
1465	3634	6281
1466	3636	6278
1467	3638	6276
1468	3641	6274
1469	3643	6270
1470	3645	6268
1471	3648	6265
1472	3651	6263
1473	3653	6261
1474	3656	6258
1475	3658	6256
1476	3660	6253
1477	3663	6250
1478	3665	6248
1479	3668	6245
1480	3670	6243
1481	3673	6241
1482	3676	6239
1483	3678	6236
1484	3681	6234
1485	3683	6231
1486	3686	6230
1487	3689	6228
1488	3691	6225
1489	3694	6223
1490	3697	6221
1491	3699	6219
1492	3702	6216
1493	3705	6214
1494	3707	6212
1495	3709	6209
1496	3712	6206
1497	3714	6203
1498	3716	6201
1499	3719	6198
1500	3721	6196
1501	3724	6193
1502	3726	6191
1503	3728	6188
1504	3731	6185
1505	3733	6183
1506	3736	6181
1507	3739	6179
1508	3741	6176
1509	3743	6173
1510	3746	6170
1511	3748	6167
1512	3750	6165
1513	3753	6163
1514	3755	6160
1515	3758	6157
1516	3760	6154
1517	3762	6152
1518	3765	6149
1519	3767	6146
1520	3769	6144
1521	3772	6141
1522	3774	6138
1523	3776	6135
1524	3779	6133
1525	3781	6129
1526	3783	6127
1527	3785	6124
1528	3787	6121
1529	3789	6118
1530	3791	6115
1531	3793	6111
1532	3796	6108
1533	3798	6106
1534	3801	6104
1535	3803	6101
1536	3805	6098
1537	3808	6095
1538	3810	6093
1539	3812	6090
1540	3815	6088
1541	3818	6086
1542	3820	6083
1543	3822	6081
1544	3825	6078
1545	3827	6075
1546	3830	6073
1547	3833	6071
1548	3836	6069
1549	3837	6066
1550	3840	6063
1551	3843	6061
1552	3845	6059
1553	3848	6057
1554	3850	6055
1555	3853	6052
1556	3856	6050
1557	3858	6047
1558	3860	6045
